outcome,outcome_clean,temp1,melting_temp2,annealing_temp2,extension_temp2,cycles2,temp3,band_size,dna_amt,t1(sec),melting_t2(sec),annealing_t3(sec),extension_t4(sec),t5(sec),Tm_p1_p3orig,Tm_p2_p3orig,Tm_p1_p3,Tm_p2_p3,Tm_p1_BSU,Tm_p2_BSU,Tm_dif_IDT,HPin_Tm_Max,Heterodimer_tm,Homodimer_maxTm,GC_ClampMin,GC_ClampMax,MaxTm_IDT,MinTm_IDT,MaxGC,MinGC,MaxPlen,MinPlen,TotPrimer
0,0,94,94,55,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.69742000113007,56.03074314293582,59.31007665976341,58.341798794015915,65.55081813977932,2.4176818289259927,46.21059474111206,0.0,0.0,35,39,58.394749126438285,55.97706729751229,82.3529411764706,50.0,24,17,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.69742000113007,56.03074314293582,59.31007665976341,58.341798794015915,65.55081813977932,2.4176818289259927,46.21059474111206,0.0,0.0,35,39,58.394749126438285,55.97706729751229,82.3529411764706,50.0,24,17,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,52.87936712036111,56.03074314293582,52.64102282787309,58.341798794015915,55.32760832155674,3.2506374866041483,42.85456345300116,0.0,0.0,35,36,55.97706729751229,52.726429810908144,55.0,50.0,24,20,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.48449034843054,56.03074314293582,59.83263569279785,58.341798794015915,64.52290706489043,3.1543131408758427,43.21537071829357,0.0,0.0,35,39,59.131380438388135,55.97706729751229,70.0,50.0,24,20,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,59.48449034843054,55.66508472656636,59.83263569279785,60.05349258891118,64.52290706489043,3.62404157734926,49.49550520614156,0.0,12.001509800874317,39,39,59.131380438388135,55.507338861038875,70.0,57.142857142857146,21,20,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,52.87936712036111,55.66508472656636,52.64102282787309,60.05349258891118,55.32760832155674,2.780909050130731,49.49550520614156,0.0,12.001509800874317,36,39,55.507338861038875,52.726429810908144,57.142857142857146,55.0,21,20,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,55.57740558401645,55.66508472656636,55.66508472656636,60.05349258891118,60.05349258891118,0.0,49.49550520614156,12.001509800874317,12.001509800874317,39,39,55.507338861038875,55.507338861038875,57.142857142857146,57.142857142857146,21,21,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.69742000113007,56.03074314293582,59.31007665976341,58.341798794015915,65.55081813977932,2.4176818289259927,46.21059474111206,0.0,0.0,35,39,58.394749126438285,55.97706729751229,82.3529411764706,50.0,24,17,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,52.87936712036111,56.03074314293582,52.64102282787309,58.341798794015915,55.32760832155674,3.2506374866041483,42.85456345300116,0.0,0.0,35,36,55.97706729751229,52.726429810908144,55.0,50.0,24,20,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.48449034843054,56.03074314293582,59.83263569279785,58.341798794015915,64.52290706489043,3.1543131408758427,43.21537071829357,0.0,0.0,35,39,59.131380438388135,55.97706729751229,70.0,50.0,24,20,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,59.48449034843054,55.66508472656636,59.83263569279785,60.05349258891118,64.52290706489043,3.62404157734926,49.49550520614156,0.0,12.001509800874317,39,39,59.131380438388135,55.507338861038875,70.0,57.142857142857146,21,20,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,52.87936712036111,55.66508472656636,52.64102282787309,60.05349258891118,55.32760832155674,2.780909050130731,49.49550520614156,0.0,12.001509800874317,36,39,55.507338861038875,52.726429810908144,57.142857142857146,55.0,21,20,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,59.69742000113007,55.66508472656636,59.31007665976341,60.05349258891118,65.55081813977932,2.88741026539941,49.49550520614156,0.0,12.001509800874317,39,39,58.394749126438285,55.507338861038875,82.3529411764706,57.142857142857146,21,17,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.69742000113007,56.03074314293582,59.31007665976341,58.341798794015915,65.55081813977932,2.4176818289259927,46.21059474111206,0.0,0.0,35,39,58.394749126438285,55.97706729751229,82.3529411764706,50.0,24,17,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,52.87936712036111,56.03074314293582,52.64102282787309,58.341798794015915,55.32760832155674,3.2506374866041483,42.85456345300116,0.0,0.0,35,36,55.97706729751229,52.726429810908144,55.0,50.0,24,20,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.48449034843054,56.03074314293582,59.83263569279785,58.341798794015915,64.52290706489043,3.1543131408758427,43.21537071829357,0.0,0.0,35,39,59.131380438388135,55.97706729751229,70.0,50.0,24,20,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,59.48449034843054,55.66508472656636,59.83263569279785,60.05349258891118,64.52290706489043,3.62404157734926,49.49550520614156,0.0,12.001509800874317,39,39,59.131380438388135,55.507338861038875,70.0,57.142857142857146,21,20,0.4
